name,sponsor_four,street,city,state,zip,latitude,longitude,stack,website,logo
Expedia,2,,Bellevue,WA,98004,47.6133928,-122.1992883,,http://www.lifeatexpedia.com/,expedia.jpg
Moz,1,1100 2nd Ave #500,Seattle,WA,98101,47.6061796,-122.3379857,,https://moz.com/about/jobs,Moz-Logo.jpg
Liquid Planner,,2324 Eastlake Ave E #500,Seattle,WA,98102,47.6405516,-122.3277217,,http://www.liquidplanner.com/careers/,liquid_planner.jpg
Marchex,,520 Pike St # 2000,Seattle,WA,98101,47.6111938,-122.3372499,,http://www.marchex.com/company/careers/,marchex_logo.png
Apex Learning Inc.,,1215 4th Ave #1500,Seattle,WA,98101,47.6193014,-122.3328786,,https://www.apexlearning.com/,apex_learning.jpeg
Chef Software,1,619 Western Ave,Seattle,WA,98104,47.602193,-122.3381205,,https://www.chef.io/,chef_logo.png
EMC Isilon Systems Inc,2,505 1st Avenue South,Seattle,WA,98104,47.597786,-122.3369028,,http://www.emc.com/en-us/storage/isilon/index.htm,isilon_logo.gif
RealPage,,,,,,,,,,
EnergySavvy,1,159 S Jackson St #420,Seattle,WA,98104,47.5989206,-122.3346568,,https://www.energysavvy.com/careers,energysavvy-logo.jpg
Substantial,,900 E Pine St #202,Seattle,WA,98122,47.6154849,-122.3224841,,http://substantial.com/,substantial.png
Foundry Interactive,,318 1st Avenue South #200,Seattle,WA,98104,47.5994668,-122.3360578,,http://www.foundryinteractive.com/,foundry_interactive.png
Zillow,1,"31, 1301 2nd Ave",Seattle,WA,98101,47.599498,-122.3513787,,http://www.zillow.com/jobs/seattle-office/,zillow-logo.jpg
NIRD,,1517 12th Ave #201,Seattle,WA,98122,47.6145999,-122.319174,,http://nird.us/,nird.png
Pacific Northwest National Laboratory,1,1100 Dexter Ave N # 400,Seattle,WA,98109,47.6289242,-122.3506039,,http://www.pnnl.gov/,pnnl.png
Redfin,1,2025 1st Ave #500,Seattle,WA,98121,47.6290327,-122.4118893,,http://www.redfin.com/about/jobs,redfin.jpg
Amazon,3,440 Terry Ave N,Seattle,WA,98109,47.6079011,-122.3438138,,http://www.amazon.jobs/location/seattle-wa,amazon.jpeg
Nordstrom,2,1617 6th Ave,Seattle,WA,98101,47.6132653,-122.3381234,,http://about.nordstrom.com/careers/#/headquarters-careers/main,nordstrom-logo.jpg
General UI,,3417 Evanston Ave N #501,Seattle,WA,98103,47.6505556,-122.3539514,,http://generalui.com/who-we-are/,general_ui_logo.png
BookingSuite,,,,,,,,,http://suite.booking.com/,booking-suite.jpg
Concur,,601 108th Ave NE #1000,Bellevue,WA,98004,47.6158813,-122.1990121,,https://www.concur.com/en-us/careers,concur_logo.png
Envestnet,,701 5th Ave,Seattle,WA,98104,47.6040359,-122.3352988,,http://www.envestnet.com/,envestnet.png
Getty Images,,605 5th Ave S Suite 400,Seattle,WA,98104,47.5970941,-122.3306768,,http://www.gettyimagesjobs.com/,getty-images-logo.png
Indeed,,,,,,,,,,indeed.png
Indigo Slate,,2475 140th Ave NE,Bellevue,WA,98005,47.6323724,-122.1570521,,http://indigoslate.com/careers.html,indigo_slate.png
Microsoft,,1 Microsoft Way,Redmond,WA,98052,47.6416345,-122.141888,,https://careers.microsoft.com/,microsoft-logo.jpg
Skytap,1,719 2nd Ave,Seattle,WA,98104,47.6032538,-122.3360558,,https://www.skytap.com/company/careers/,skytap.jpeg
Socrata,1,83 S King St #107,Seattle,WA,98104,47.5981494,-122.3367394,,http://careers.socrata.com/,socrata.png
Spare5,,,,,,,,,http://www.spare5.com/jobs/,spare5.jpg
Tune,,2220 Western Ave,Seattle,WA,98121,47.6123179,-122.3483397,,http://www.tune.com/careers/,tune.png
Artefact,1,619 Western Ave #500,Seattle,WA,98104,47.6022556,-122.3381317,,https://www.artefactgroup.com/content/job/,artefact-logo.jpg
Enlearn,1,2815 Eastlake Ave E #135,Seattle,WA,98102,47.6459306,-122.3282707,,http://www.enlearn.org/join-us/,enlearn.png
CenturyLink,2,1600 7th Ave,Seattle,WA,98101,47.6132416,-122.3365947,,http://www.centurylink.com/Pages/AboutUs/CompanyInformation/Careers/,centurylink.jpg
Estately,1,1809 1550 7th Ave,Seattle,WA,98101,47.6137257,-122.3378221,,http://www.estately.com/about,estately-logo.png
